Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2020,,,,,,,,,Understanding Social Inequality in Cuyahoga country through Curn Injuries,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

The primary objective of this project is to highlight health and social inequalities through burn injury rates in Cuyahoga Country. The aims of this study are twofold. First, use geographic information systems (GIS) to explore risk facts associated with accidental, in-home burn injuries. Secondly, through qualitative interviews, to document the experiences of burn surviros at the time of their burn injury, during reatment, and after treatment",,,,,,,
2020,,,,,,,,,Simulation - Based Assessment for Executive Functions after Childhood TBI,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

The purpose of this proejct is to determine the feasibility of using simualtio-based activies to assess executive functioning after childhood traumatic brain injury (TBI). This project will create a simulated classroom enviorment to test children's executive function skills in an ecologically valid setting. ",,,,,,,
2020,,,,,,,,,Dynamics of Emergent Organization Formation in the Digital Age : Ongoing Work,"- https://scalar.case.edu/freedman-fellows/bender-2019-2020
- https://thedaily.case.edu/2019-20-freedman-student-fellows-announced/

The proposed project entails the ongoing mixed-method study of the emergence of the world's largest women's motor cycle organization through small story narrative anlaysis focused on textual and visual themes presented in Instagram posts, as well as user responses to them. This includes the collection of Instagram post images associated with extant textual data and for purposes of interrater reliability, thematic coding of images in NVIVO and textual data in Excel based on my code book. ",,,,,,,
2020,,,,,,,,,Silent Witness project,"- https://scalar.case.edu/freedman-fellows/krishnan-2020-2021
- https://thedaily.case.edu/students-selected-for-freedman-student-fellowships/

The aim of this internship was on the ""Digital aspects of the silent Witness Project""",,,,,,,
2021,,,,,,,,,Digitizing Hart Crane,"- https://scalar.case.edu/freedman-fellows/mancino-2021-2022
- https://thedaily.case.edu/meet-the-winners-of-the-2021-2022-walter-freedman-and-karen-harrison-freedman-student-fellowships/

Digitizing the materials within KSL's Hart Crane Collection (1899 - 1985), to amke this famously difficult poet's corpus and biography more accessible to modern-day readers and scholars. ",,,,,,,
2021,,,,,,,,,Virtual reality system to measure visuomotor dysfunction in Parkinson's disease,"- https://scalar.case.edu/freedman-fellows/gupta-2021-2022
- https://thedaily.case.edu/meet-the-winners-of-the-2021-2022-walter-freedman-and-karen-harrison-freedman-student-fellowships/

This project will explore applications of virtual reality (VR) in diagnosing visual dysfunction in neurodegenerative disorders such as Parkinson's diseases, and incorporating this quantifiaction in deep brain stimulation (DBS) treatment planning. Visuomotor abnormalities in PD are extremely common affecting up to the third of these parientss, but they are ignored. This is in part due to the lack of infrastructure required to diagnose and quantify such impairments. THis project proposes to design a virtual reality (VR) based  interface to objectively exmine the eye movement abnormality in PD, and deploy this setup as an all-in-one, portable and accurate tool that is accessible to most Neurology clinics that routinely care for PD patients. ",,,,,,,
2021,,,,,,,,,A Qualitative Study of Ambivalence Between Living and Dying for Suicidal Individuals,"- https://scalar.case.edu/freedman-fellows/beale-2021-2022
- https://thedaily.case.edu/meet-the-winners-of-the-2021-2022-walter-freedman-and-karen-harrison-freedman-student-fellowships/

This project explores the themes relating to ambivalence between living and dying for Verterans who have experienced suicidal thoughts. THe current study argues that a better understanding of ambivalence between living and dying in a suicidal crisis will help dlinicains to intervene against suicidal actions more effectively. The research obejctives of the proposed study are to thematically understand the suicidal individual's experience of ambivalence and identify themes that might be effectively measured with the ultimate goal of measurement and intervention in future research. Qualitative content analysis will identify themes relating to ambivalence between living and dying, cultural identities, social pressures, and therapeutic preferences. Quantitative analyses will examine demographic and clinical variables, depression severity, hopelessness, and suicidal ideation. ",,,,,,,

2021,,,,,,,,,"Designing and Distributed, Privacy-Preserving Analytics Architecture with Personal Clouds","- https://scalar.case.edu/freedman-fellows/tatton-2021-2022
- https://thedaily.case.edu/meet-the-winners-of-the-2021-2022-walter-freedman-and-karen-harrison-freedman-student-fellowships/

This project aims to address the privacy concerns of increasingly personalized modern applications that derive insight from user data. Specifically, he aims to develop a general distributed message-passing solution that allows for implementations of specific federated learning and otherwise distributed algorithms. Once the architecture is implemented, the privacy guarantees, scalability, and efficiency will be studied with various algorithms and threat models.",,,,,,,
2022,,,,,,,,,Internalized Stigma in Schizophrenia Specturm Disorders,This study will promote the importance of treating internalzied stigma in schizophrenia spectrum disorders. It iwll also provide details that aloow internalized stigma intervention development to move forward. ,,,,,,,
2022,,,,,,,,,"""Modelling effect of cycling on the basal ganglia motor control circuitry in patients with Parkinson's disease (PD).""",This study will help in better understanding the effect of dynamic cycling with a variable cadence on the complex motor control circuity inside the cerebral cortex. ,,,,,,,
2014,,,,,,,,,How the receipt of federal public assistance following a devastating natural disaster affects individual finances and migration decisionn. ,"- https://thedaily.case.edu/attend-presentations-by-freedman-fellows-at-kelvin-smith-library/
- https://thedaily.case.edu/recipients-of-the-2014-freedman-fellows-awards-selected/

This project generates and correlates datasets on tornado paths and the financial data in the parth of the tornados (using geographic data) as well as assistance in creating GIS maps for displaying the data.",,,,,,,
2014,,,,,,,,,Translating oral history interviews and documents relating to modern Tibetan history and society to be included in the TOHAP project (tohap.case.edu).,"- https://thedaily.case.edu/attend-presentations-by-freedman-fellows-at-kelvin-smith-library/
- https://thedaily.case.edu/recipients-of-the-2014-freedman-fellows-awards-selected

This project focuses on correcting the TEI-XML syntax errors of 1,200 interviews and to transcribe a 1,000 Chinese government documents ",,,,,,,
2015,,,,,,,,,The Jew @ CWRU,"- https://thedaily.case.edu/jewish-view-exhibit-opening-reception/
- https://thedaily.case.edu/faculty-members-gillian-weiss-william-rogers-selected-as-2015-freedman-fellows/

This project aims to uncover the historical role of Jewish students, facultiy, and administrators in the social movements, physical infrastructure, and intellectual life of Case Western Reserve University from its founding to the present. A website featuring archival documents, images, video and audio, and interactive finding aids with accompanying explanatory essays, will be developed during the course of the Fellowship. ",,,,,,,
2015,,,,,,,,,"Scribal Lives, Liberties, and the Pursuit of Texts","- https://thedaily.case.edu/faculty-members-gillian-weiss-william-rogers-selected-as-2015-freedman-fellows//

This project is focused on the authors and scribes whose lives intersected with St. Bartholomew's, a former church complex and current hospital located in London, England. St. Bartholomew's was present in the lives of several late-medieval and early modern English literary figures and was important in the dissemination of manuscripts and incunabula that tody serve partly as foundation for the early English literary canon. The goal of this project is to track not only the suthors and scribes involved with or living at St. Bartholomew's but also the manuscripts and imprints produced there. An interactive map and accompanying digital archive will be produced from the results. ",,,,,,,

2016,,,,,,,,,Muddling Through Technology-Related Challenges in Qualitative Social Scientific Research,"- https://thedaily.case.edu/2016-freedman-fellows-presentations/

This project is about the European Union's foreign economic policies in the area of financial regulation (i.e. the rules governing the cross-border exchange of capital and related services). Addressing core scholarly and public policy questions about the EU's role in international affairs.

Is Europe a good internationalist supporting cooperation, human rights and good governance, or is it like any other giant polity that pursues such goals to the extent that they correspond to narrow ""national"" interests?

Because the EU is the world's largest market, the answer to this question has enormous implications for the future of global financial regulation - a domain that the 2008 financial crisis taught us can affect everyone from Goldman Sachs bankers to average working families. ",,,,,,,
2016,,,,,,,,,"Small Talk : An Interdisciplinary Creative Collaboration Investigating Introversion, Social Anxiety, and Depression","- https://thedaily.case.edu/2016-freedman-fellows-presentations/

The project will premiere November 2016 at Mather Dance Center on the CWRU campus as part of the Department of Dance faculty and guest artist concert. A total of six performances will be included during this initial production run reaching as many as 600 audience members representing CWRU faculty, staff, and atudents as well as dance aficionados from the Greater Cleveland community ",,,,,,,
2016,,,,,,,,,"The Jewish View at CWRU : Campus Activism, 1978 - 1973","- https://thedaily.case.edu/jewish-view-exhibit-opening-reception/
- https://thedaily.case.edu/2016-freedman-fellows-presentations/
- https://thedaily.case.edu/hear-from-2015-freedman-fellow-gillian-weiss-on-her-project-involving-digital-scholarship/

This project aims to uncover the historical role of Jewish students, faculty and administrators in the social movements, physical infrastructure and intellectual life of Case Western Reserve University from its founding to the present. The most straightforward goal of such a self-study undertaken by the Program in Judaic Studies is to produce and disseminate knowledge - in written, oral and visual forms through online resources, publications, exhibitions and talks. ",,,,,,,
2017,,,,,,,,,Face of the Deep : Altering Biblical Translation in Emerging Digital Media,"- https://scalar.case.edu/freedman-fellows/beal-2017-2018
- https://thedaily.case.edu/2017-freedman-fellows-announced/

This project focuses on creating a beta program and interactive, layered user interface focus on translation of the first three verses of the Hebrew biblical text of Genesis. Project will allow for training in Python, natural and machine language processing and visualization/interface design. ",,,,,,,
2017,,,,,,,,,John Derricke's Image of Ireland : A Digital Edition,"- https://scalar.case.edu/freedman-fellows/iammarino-2017-2018
- https://thedaily.case.edu/2017-freedman-fellows-announced/

This project focuses on preserving a rare 16th century text from Ireland, making it more discoverable through a digitial enhancement of text, image, annotation and marginalia. Additionally, phase I of the project will transcribe the text. ",,,,,,,
2017,,,,,,,,,Visualizing the Spatial and Temporal Dimensions of Cuyahoga Country's Sexual Assault Kit Backlog,"- https://scalar.case.edu/freedman-fellows/lovell-and-luminais-2018-2019
- https://thedaily.case.edu/2017-freedman-fellows-announced/
- https://thedaily.case.edu/new-research-shows-know-dont-serial-rapists/
- https://thedaily.case.edu/legacy-redlining-1930s-cleveland-mortgage-lending-maps-mirror-todays-poverty/

This project focuses on using ArcGIS in conjunction with historical maprs or other archival documents to make discoverable the spatial relationships found in data gathered from backlogged sexual assault kits held in Cuyahoga Country, Ohio. Applicants will create an interactive website for the data and researchers' findings. ",,,,,,,
2018,,,,,,,,,The Inscriptions on the Antikythera Mechanism ,"- https://scalar.case.edu/freedman-fellows/iversen-2018-2019
- https://thedaily.case.edu/learn-how-freedman-fellow-paul-iversen-uses-technology-to-read-inscriptions-on-the-first-analog-computer/

This project reimburses for the individual tutoring on Vlume Graphics Studio Max 3.2 computer software for my work on deciphering the inscriptions on the Antikythera Mechanism. THe results will be published in a traditional monograph in contract with Brill on the Inscriptions and calendar on the Antikythera Mechanism and their relationship to other Greek Doric calendars. ",,,,,,,
2018,,,,,,,,,Data in the Service of Community Engagement : Risk Terrain Modeling of Sexual Assault Kit Initiative Geospatial Data,"- https://scalar.case.edu/freedman-fellows/lovell-and-luminais-2018-2019
- https://thedaily.case.edu/new-research-shows-know-dont-serial-rapists/
- https://thedaily.case.edu/legacy-redlining-1930s-cleveland-mortgage-lending-maps-mirror-todays-poverty/

This project plans on exploring the geospatial data through Risk Terrain Modeling (RTM), developed at the Rutgers Center on Public security, to explore how Cleveland's unique spatial and situtational context affects sexual assault patterns. ",,,,,,,
